ACL Name,Line,Line Text,In Use,Too General?,Source Clusters,Destination Clusters
ACL_IN,120,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq 49158,True,False,Reporting Service,Domain Controllers
ACL_IN,121,access-list ACL_IN extended permit UDP object Web_Servers any eq 5355,True,False,Web Servers,External
ACL_IN,122,access-list ACL_IN extended permit UDP object Web_Servers any range 137-138,True,False,Web Servers,External
ACL_IN,123,access-list ACL_IN extended permit UDP object MSSQL_Database any range 137-138,True,False,MSSQL Database,External
ACL_IN,124,access-list ACL_IN extended permit UDP object MSSQL_Database any eq 5355,True,False,MSSQL Database,External
ACL_IN,125,access-list ACL_IN extended permit TCP object Sharepoint_DC object Tetration_Cluster_(172.26.46.0/24) eq https,True,False,Sharepoint DC,Tetration Cluster (172.26.46.0/24)
ACL_IN,126,access-list ACL_IN extended permit TCP object Sharepoint_DC object Tetration_Cluster_(172.26.46.0/24) eq 5640,True,False,Sharepoint DC,Tetration Cluster (172.26.46.0/24)
ACL_IN,127,access-list ACL_IN extended permit UDP object Web_Servers object Domain_Controllers eq ntp,True,False,Web Servers,Domain Controllers
ACL_IN,128,access-list ACL_IN extended permit UDP object Web_Servers object Domain_Controllers eq domain,True,False,Web Servers,Domain Controllers
ACL_IN,129,access-list ACL_IN extended permit UDP object Web_Servers object Domain_Controllers eq 389,True,False,Web Servers,Domain Controllers
ACL_IN,130,access-list ACL_IN extended permit TCP object Web_Servers object Domain_Controllers eq 445,True,False,Web Servers,Domain Controllers
ACL_IN,131,access-list ACL_IN extended permit TCP object Web_Servers object Domain_Controllers eq domain,True,False,Web Servers,Domain Controllers
ACL_IN,132,access-list ACL_IN extended permit TCP object Web_Servers object Domain_Controllers eq 49158,True,False,Web Servers,Domain Controllers
ACL_IN,133,access-list ACL_IN extended permit ICMP object Web_Servers object Domain_Controllers,True,False,Web Servers,Domain Controllers
ACL_IN,134,access-list ACL_IN extended permit TCP object Web_Servers object Domain_Controllers eq 49155,True,False,Web Servers,Domain Controllers
ACL_IN,135,access-list ACL_IN extended permit TCP object Web_Servers object Domain_Controllers eq 135,True,False,Web Servers,Domain Controllers
ACL_IN,136,access-list ACL_IN extended permit TCP object Web_Servers object Domain_Controllers eq 88,True,False,Web Servers,Domain Controllers
ACL_IN,137,access-list ACL_IN extended permit TCP object Web_Servers object Domain_Controllers eq ldap,True,False,Web Servers,Domain Controllers
ACL_IN,138,access-list ACL_IN extended permit UDP object Domain_Controllers any eq domain,True,False,Domain Controllers,External
ACL_IN,139,access-list ACL_IN extended permit UDP object Domain_Controllers any range 137-138,True,False,Domain Controllers,External
ACL_IN,140,access-list ACL_IN extended permit UDP object Domain_Controllers any eq 5355,True,False,Domain Controllers,External
ACL_IN,141,access-list ACL_IN extended permit UDP object Domain_Controllers any eq 49595,True,False,Domain Controllers,External
ACL_IN,142,access-list ACL_IN extended permit UDP object Domain_Controllers any eq 50126,True,False,Domain Controllers,External
ACL_IN,143,access-list ACL_IN extended permit UDP object Domain_Controllers any eq 50689,True,False,Domain Controllers,External
ACL_IN,144,access-list ACL_IN extended permit UDP object Domain_Controllers any eq 52069,True,False,Domain Controllers,External
ACL_IN,145,access-list ACL_IN extended permit UDP object Domain_Controllers any eq 53864,True,False,Domain Controllers,External
ACL_IN,146,access-list ACL_IN extended permit UDP object Domain_Controllers any eq 60358,True,False,Domain Controllers,External
ACL_IN,147,access-list ACL_IN extended permit TCP object Reporting_Service any eq 135,True,False,Reporting Service,External
ACL_IN,148,access-list ACL_IN extended permit TCP object Reporting_Service any eq 445,True,False,Reporting Service,External
ACL_IN,149,access-list ACL_IN extended permit UDP object Reporting_Service any range 137-138,True,False,Reporting Service,External
ACL_IN,150,access-list ACL_IN extended permit UDP object Reporting_Service any eq 5355,True,False,Reporting Service,External
ACL_IN,151,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 88,True,False,VDI Jump Server,Domain Controllers
ACL_IN,152,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 135,True,False,VDI Jump Server,Domain Controllers
ACL_IN,153,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq ldap,True,False,VDI Jump Server,Domain Controllers
ACL_IN,154,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 445,True,False,VDI Jump Server,Domain Controllers
ACL_IN,155,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 464,True,False,VDI Jump Server,Domain Controllers
ACL_IN,156,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 3268,True,False,VDI Jump Server,Domain Controllers
ACL_IN,157,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 3389,True,False,VDI Jump Server,Domain Controllers
ACL_IN,158,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 49155,True,False,VDI Jump Server,Domain Controllers
ACL_IN,159,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Domain_Controllers eq 49158,True,False,VDI Jump Server,Domain Controllers
ACL_IN,160,access-list ACL_IN extended permit UDP object VDI_Jump_Server object Domain_Controllers eq domain,True,False,VDI Jump Server,Domain Controllers
ACL_IN,161,access-list ACL_IN extended permit UDP object VDI_Jump_Server object Domain_Controllers eq ntp,True,False,VDI Jump Server,Domain Controllers
ACL_IN,162,access-list ACL_IN extended permit UDP object VDI_Jump_Server object Domain_Controllers eq 389,True,False,VDI Jump Server,Domain Controllers
ACL_IN,163,access-list ACL_IN extended permit UDP object VDI_Jump_Server object Domain_Controllers eq 3389,True,False,VDI Jump Server,Domain Controllers
ACL_IN,164,access-list ACL_IN extended permit ICMP object VDI_Jump_Server object Domain_Controllers,True,False,VDI Jump Server,Domain Controllers
ACL_IN,165,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Reporting_Service eq 3389,True,False,VDI Jump Server,Reporting Service
ACL_IN,166,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Reporting_Service eq 7844,True,False,VDI Jump Server,Reporting Service
ACL_IN,167,access-list ACL_IN extended permit TCP object VDI_Jump_Server object Reporting_Service eq 7846,True,False,VDI Jump Server,Reporting Service
ACL_IN,168,access-list ACL_IN extended permit UDP object VDI_Jump_Server object Reporting_Service eq 3389,True,False,VDI Jump Server,Reporting Service
ACL_IN,169,access-list ACL_IN extended permit ICMP object VDI_Jump_Server object Reporting_Service,True,False,VDI Jump Server,Reporting Service
ACL_IN,170,access-list ACL_IN extended permit ICMP any object Sharepoint_Search,True,False,External,Sharepoint Search
ACL_IN,171,access-list ACL_IN extended permit UDP object Sharepoint_Front-End any range 137-138,True,False,Sharepoint Front-End,External
ACL_IN,172,access-list ACL_IN extended permit UDP object Sharepoint_Front-End any eq 5355,True,False,Sharepoint Front-End,External
ACL_IN,173,access-list ACL_IN extended permit UDP any object MSSQL_Database eq 3389,True,False,External,MSSQL Database
ACL_IN,174,access-list ACL_IN extended permit ICMP any object MSSQL_Database,True,False,External,MSSQL Database
ACL_IN,175,access-list ACL_IN extended permit TCP any object MSSQL_Database eq 3389,True,False,External,MSSQL Database
ACL_IN,176,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Sharepoint_Search eq 808,True,False,Sharepoint Front-End,Sharepoint Search
ACL_IN,177,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Sharepoint_Search range 32843-32844,True,False,Sharepoint Front-End,Sharepoint Search
ACL_IN,178,access-list ACL_IN extended permit TCP object Reporting_Service object Sharepoint_DC eq 445,True,False,Reporting Service,Sharepoint DC
ACL_IN,179,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Tetration_Cluster_(172.26.46.0/24) eq https,True,False,Sharepoint Front-End,Tetration Cluster (172.26.46.0/24)
ACL_IN,180,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Tetration_Cluster_(172.26.46.0/24) eq 5640,True,False,Sharepoint Front-End,Tetration Cluster (172.26.46.0/24)
ACL_IN,181,access-list ACL_IN extended permit TCP object Domain_Controllers object Tetration_Cluster_(172.26.46.0/24) eq https,True,False,Domain Controllers,Tetration Cluster (172.26.46.0/24)
ACL_IN,182,access-list ACL_IN extended permit TCP object Domain_Controllers object Tetration_Cluster_(172.26.46.0/24) eq 5640,True,False,Domain Controllers,Tetration Cluster (172.26.46.0/24)
ACL_IN,183,access-list ACL_IN extended permit ICMP object Domain_Controllers object Web_Servers,True,False,Domain Controllers,Web Servers
ACL_IN,184,access-list ACL_IN extended permit TCP object MSSQL_Database object Web_Servers eq 57594,True,False,MSSQL Database,Web Servers
ACL_IN,185,access-list ACL_IN extended permit TCP object MSSQL_Database object Web_Servers eq 51563,True,False,MSSQL Database,Web Servers
ACL_IN,186,access-list ACL_IN extended permit TCP object MSSQL_Database object Web_Servers eq 60406,True,False,MSSQL Database,Web Servers
ACL_IN,187,access-list ACL_IN extended permit UDP object Sharepoint_DC object Domain_Controllers eq domain,True,False,Sharepoint DC,Domain Controllers
ACL_IN,188,access-list ACL_IN extended permit UDP object Sharepoint_DC object Domain_Controllers eq ntp,True,False,Sharepoint DC,Domain Controllers
ACL_IN,189,access-list ACL_IN extended permit UDP object Sharepoint_DC object Domain_Controllers eq 389,True,False,Sharepoint DC,Domain Controllers
ACL_IN,190,access-list ACL_IN extended permit ICMP object Sharepoint_DC object Domain_Controllers,True,False,Sharepoint DC,Domain Controllers
ACL_IN,191,access-list ACL_IN extended permit TCP object Sharepoint_DC object Domain_Controllers eq domain,True,False,Sharepoint DC,Domain Controllers
ACL_IN,192,access-list ACL_IN extended permit TCP object Sharepoint_DC object Domain_Controllers eq 88,True,False,Sharepoint DC,Domain Controllers
ACL_IN,193,access-list ACL_IN extended permit TCP object Sharepoint_DC object Domain_Controllers eq 135,True,False,Sharepoint DC,Domain Controllers
ACL_IN,194,access-list ACL_IN extended permit TCP object Sharepoint_DC object Domain_Controllers eq ldap,True,False,Sharepoint DC,Domain Controllers
ACL_IN,195,access-list ACL_IN extended permit TCP object Sharepoint_DC object Domain_Controllers eq 445,True,False,Sharepoint DC,Domain Controllers
ACL_IN,196,access-list ACL_IN extended permit TCP object Sharepoint_DC object Domain_Controllers eq 49155,True,False,Sharepoint DC,Domain Controllers
ACL_IN,197,access-list ACL_IN extended permit TCP object Sharepoint_DC object Domain_Controllers eq 49158,True,False,Sharepoint DC,Domain Controllers
ACL_IN,198,access-list ACL_IN extended permit TCP object Reporting_Service object VDI_Jump_Server eq 445,True,False,Reporting Service,VDI Jump Server
ACL_IN,199,access-list ACL_IN extended permit TCP object Reporting_Service object VDI_Jump_Server eq 2564,True,False,Reporting Service,VDI Jump Server
ACL_IN,200,access-list ACL_IN extended permit TCP object Reporting_Service object VDI_Jump_Server eq 4156,True,False,Reporting Service,VDI Jump Server
ACL_IN,201,access-list ACL_IN extended permit UDP object Reporting_Service object VDI_Jump_Server range 55774-55775,True,False,Reporting Service,VDI Jump Server
ACL_IN,202,access-list ACL_IN extended permit UDP object Reporting_Service object VDI_Jump_Server range 59900-59901,True,False,Reporting Service,VDI Jump Server
ACL_IN,203,access-list ACL_IN extended permit UDP object Reporting_Service object VDI_Jump_Server eq 64359,True,False,Reporting Service,VDI Jump Server
ACL_IN,204,access-list ACL_IN extended permit TCP object Sharepoint_DC object Reporting_Service eq 7871,True,False,Sharepoint DC,Reporting Service
ACL_IN,205,access-list ACL_IN extended permit TCP object Reporting_Service object MSSQL_Database eq 445,True,False,Reporting Service,MSSQL Database
ACL_IN,206,access-list ACL_IN extended permit ICMP object VDI_Jump_Server object Sharepoint_DC,True,False,VDI Jump Server,Sharepoint DC
ACL_IN,207,access-list ACL_IN extended permit UDP object MSSQL_Database object Domain_Controllers eq domain,True,False,MSSQL Database,Domain Controllers
ACL_IN,208,access-list ACL_IN extended permit UDP object MSSQL_Database object Domain_Controllers eq ntp,True,False,MSSQL Database,Domain Controllers
ACL_IN,209,access-list ACL_IN extended permit UDP object MSSQL_Database object Domain_Controllers eq 389,True,False,MSSQL Database,Domain Controllers
ACL_IN,210,access-list ACL_IN extended permit TCP object MSSQL_Database object Domain_Controllers eq 88,True,False,MSSQL Database,Domain Controllers
ACL_IN,211,access-list ACL_IN extended permit TCP object MSSQL_Database object Domain_Controllers eq 135,True,False,MSSQL Database,Domain Controllers
ACL_IN,212,access-list ACL_IN extended permit TCP object MSSQL_Database object Domain_Controllers eq ldap,True,False,MSSQL Database,Domain Controllers
ACL_IN,213,access-list ACL_IN extended permit TCP object MSSQL_Database object Domain_Controllers eq 445,True,False,MSSQL Database,Domain Controllers
ACL_IN,214,access-list ACL_IN extended permit TCP object MSSQL_Database object Domain_Controllers eq 49155,True,False,MSSQL Database,Domain Controllers
ACL_IN,215,access-list ACL_IN extended permit TCP object MSSQL_Database object Domain_Controllers eq 49158,True,False,MSSQL Database,Domain Controllers
ACL_IN,216,access-list ACL_IN extended permit ICMP object MSSQL_Database object Domain_Controllers,True,False,MSSQL Database,Domain Controllers
ACL_IN,217,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object MSSQL_Database eq 50805,True,False,Tetration Cluster (172.26.46.0/24),MSSQL Database
ACL_IN,218,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object MSSQL_Database range 50808-50809,True,False,Tetration Cluster (172.26.46.0/24),MSSQL Database
ACL_IN,219,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object MSSQL_Database eq 50817,True,False,Tetration Cluster (172.26.46.0/24),MSSQL Database
ACL_IN,220,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object MSSQL_Database eq 54806,True,False,Tetration Cluster (172.26.46.0/24),MSSQL Database
ACL_IN,221,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object MSSQL_Database eq 58384,True,False,Tetration Cluster (172.26.46.0/24),MSSQL Database
ACL_IN,222,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object MSSQL_Database eq 58386,True,False,Tetration Cluster (172.26.46.0/24),MSSQL Database
ACL_IN,223,access-list ACL_IN extended permit ICMP object VDI_Jump_Server object MSSQL_Database,True,False,VDI Jump Server,MSSQL Database
ACL_IN,224,access-list ACL_IN extended permit UDP object Domain_Controllers object Reporting_Service eq 51709,True,False,Domain Controllers,Reporting Service
ACL_IN,225,access-list ACL_IN extended permit TCP object Domain_Controllers object Reporting_Service eq 7885,True,False,Domain Controllers,Reporting Service
ACL_IN,226,access-list ACL_IN extended permit ICMP object Domain_Controllers object Reporting_Service,True,False,Domain Controllers,Reporting Service
ACL_IN,227,access-list ACL_IN extended permit TCP object Sharepoint_Search object Sharepoint_Front-End eq 32843,True,False,Sharepoint Search,Sharepoint Front-End
ACL_IN,228,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Sharepoint_DC eq 59525,True,False,Tetration Cluster (172.26.46.0/24),Sharepoint DC
ACL_IN,229,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Sharepoint_DC eq 59539,True,False,Tetration Cluster (172.26.46.0/24),Sharepoint DC
ACL_IN,230,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Sharepoint_DC eq 61391,True,False,Tetration Cluster (172.26.46.0/24),Sharepoint DC
ACL_IN,231,access-list ACL_IN extended permit TCP any object Web_Servers eq www,True,False,External,Web Servers
ACL_IN,232,access-list ACL_IN extended permit ICMP any object Web_Servers,True,False,External,Web Servers
ACL_IN,233,access-list ACL_IN extended permit TCP object Reporting_Service object Sharepoint_Search eq 445,True,False,Reporting Service,Sharepoint Search
ACL_IN,234,access-list ACL_IN extended permit ICMP any object Sharepoint_Front-End,True,False,External,Sharepoint Front-End
ACL_IN,235,access-list ACL_IN extended permit TCP object MSSQL_Database object Reporting_Service eq 7818,True,False,MSSQL Database,Reporting Service
ACL_IN,236,access-list ACL_IN extended permit TCP object MSSQL_Database object Reporting_Service eq 7872,True,False,MSSQL Database,Reporting Service
ACL_IN,237,access-list ACL_IN extended permit TCP object MSSQL_Database object Reporting_Service eq 7874,True,False,MSSQL Database,Reporting Service
ACL_IN,238,access-list ACL_IN extended permit TCP object MSSQL_Database object Reporting_Service eq 7889,True,False,MSSQL Database,Reporting Service
ACL_IN,239,access-list ACL_IN extended permit TCP object MSSQL_Database object Reporting_Service eq 7891,True,False,MSSQL Database,Reporting Service
ACL_IN,240,access-list ACL_IN extended permit TCP object Sharepoint_DC object MSSQL_Database eq 1433,True,False,Sharepoint DC,MSSQL Database
ACL_IN,241,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object MSSQL_Database eq 1433,True,False,Sharepoint Front-End,MSSQL Database
ACL_IN,242,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Sharepoint_DC eq 22233,True,False,Sharepoint Front-End,Sharepoint DC
ACL_IN,243,access-list ACL_IN extended permit TCP object Reporting_Service object Sharepoint_Front-End eq 445,True,False,Reporting Service,Sharepoint Front-End
